epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.936,2.26087,5.02931,1.15798,0.14638,0.21294,0.16041,0.12738,2.1858,5.24863,1.09958,0.000148958,0.000148958,0.000148958
2,148.459,2.19477,3.29052,1.0148,0.54572,0.07126,0.17492,0.11061,2.77756,3.63097,1.03757,0.000297649,0.000297649,0.000297649
3,236.645,2.2893,3.04163,1.02104,0.57509,0.26613,0.20249,0.15775,2.62144,2.82391,1.03002,0.000443336,0.000443336,0.000443336
4,326.771,2.34896,2.74363,1.00992,0.429,0.28954,0.23248,0.14791,2.53399,2.61165,1.01447,0.000441486,0.000441486,0.000441486
5,423.596,2.11151,2.6021,0.99736,0.40809,0.29427,0.19025,0.11526,2.50598,2.64708,1.04115,0.000436982,0.000436982,0.000436982
6,526.745,2.13383,2.35539,0.98213,0.71125,0.28824,0.26208,0.16237,2.52249,2.34486,1.00042,0.000432478,0.000432478,0.000432478
7,618.516,2.01757,2.30332,0.97024,0.51293,0.28719,0.29798,0.1919,2.6196,2.42023,0.98973,0.000427973,0.000427973,0.000427973
8,724.386,2.00801,2.18386,0.96069,0.67463,0.19609,0.25331,0.17735,2.45983,2.2521,0.98262,0.000423468,0.000423468,0.000423468
9,814.709,1.9266,2.20125,0.96739,0.70542,0.28486,0.27878,0.18964,2.43533,2.31167,0.99247,0.000418964,0.000418964,0.000418964
10,912.956,1.97495,2.13443,0.95621,0.59148,0.28586,0.28907,0.19655,2.477,2.07861,0.97609,0.00041446,0.00041446,0.00041446
11,1017.67,2.05355,2.03624,0.95033,0.48161,0.28137,0.24974,0.17484,2.47221,2.13198,0.97271,0.000409955,0.000409955,0.000409955
